OBS,VNM_OGI_IC2,VNM_REL_RED_IC2,VNM_LRXF_IC2,VNM_IPR_A_IC2,VNM_TECHL_A_IC2,VNM_FINC_A_IC2
2000,28116.00266,15.28822055,0.82067909,,,
2001,38268.40527,15.25,0.82165173,,,
2002,47512.6832,15.17412935,0.82153072,,,
2003,67993.36954,15.38461538,0.82015837,,,
2004,66469.05209,15.0990099,0.81885051,,,
2005,83286.39584,14.85148515,0.81827856,,,
2006,92840.5959,14.85148515,0.81616356,,,
2007,124810.0636,14.81481481,0.81482907,,,
2008,152605.2634,14.56790123,0.81446201,,,
2009,225978.6331,14.07407407,0.8139086,,,
2010,240500.2641,13.82716049,0.8115656,0.075813208,-0.022066938,0
2011,251520.5255,13.61386139,0.8111884,-0.124570835,-0.000169387,0
2012,343212,13.89578,0.8153498,-0.067412825,0.009435755,3.193816516
2013,385053.5,13.89578,0.8252107,-0.013842547,0.025896694,3.19382
2014,370489.3,14.14392,0.827383,0.054440715,-0.001421265,3.19381
2015,421640.6,14.39206,0.8251649,-0.025764248,-0.008784896,-0.05171
2016,402237,14.60396,0.8236732,0.051165621,-0.014287022,-0.05172
2017,431377.5,14.60396,0.8252751,0.005681504,-0.006295641,-0.05172
2018,449982.2,14.85149,0.8283201,0.025696141,-0.015467826,0
2019,588441.3,14.85149,0.8266913,0.098138402,-0.033507755,0
2020,614250,14.85277,0.8328402,-0.03822852,-0.02044459,0
2021,649345.2,14.85282,0.835206,-0.034505848,-0.016071135,0.125405851
2022,720790.9,14.8529,0.8379644,0.076142633,-0.012566353,0.111901163
2023,803521.4,14.85312,0.8410438,0.07224727,-0.00846108,0.100009132
2024,899553.3,14.85341,0.844401,0.029997789,-0.0046012,0.089213352
2025,1004775,14.85371,0.8479893,0.036137959,-0.001447392,0.079883292
2026,1121146,14.85398,0.8518145,0.036308111,0.001335103,0.11117116
2027,1224305,14.85241,0.8580572,0.020468266,0.003956068,0.100579378
2028,1335772,14.85358,0.8621569,0.009196961,0.005991673,0.091539894
2029,1454949,14.85334,0.8648493,0.005923697,0.007563613,0.083637631
2030,1581751,14.85255,0.8666174,0.004535146,0.00877874,0.076628669
2031,1718079,14.85155,0.8677786,0.002666347,0.009392158,0
2032,1862741,14.85064,0.8685411,0.004363857,0.010175867,0
2033,2016521,14.84983,0.8690419,0.004519762,0.010825766,0
2034,2179997,14.84923,0.8693708,0.005037457,0.011333681,0
2035,2353738,14.84872,0.8695868,0.005608782,0.011764028,0
2036,2534376,14.84835,0.8697286,0.005609283,0.012112939,0
2037,2727809,14.84818,0.8698218,0.004458713,0.012386486,0
2038,2932762,14.84802,0.869883,0.00509017,0.012592332,0
2039,3149885,14.84792,0.8699231,0.005499606,0.012768114,0
2040,3379854,14.84787,0.8699495,0.005960859,0.012909308,0
2041,3618754,14.84788,0.8699669,0.00592181,0.012986882,0
2042,3873493,14.84796,0.8699782,0.005073293,0.013088041,0
2043,4142486,14.84801,0.8699857,0.005641609,0.013194543,0
2044,4426392,14.84808,0.8699906,0.006008157,0.013250378,0
2045,4725934,14.84816,0.8699938,0.006387264,0.013297422,0
2046,5030136,14.84828,0.869996,0.006030385,0.013329534,0
2047,5355767,14.84844,0.8699973,0.003863306,0.01333954,0
2048,5697750,14.84859,0.8699983,0.004312524,0.013327697,0
2049,6056688,14.84876,0.8699989,0.004392619,0.013314016,0
2050,6433299,14.84888,0.8699993,0.004493641,0.013301325,0
