OBS,VNM_EXPSP_NTP,VNM_EXPH_NTP,VNM_OGI_NTP,VNM_EFF_NTP,VNM_IPR_A_NTP,VNM_TECHL_A_NTP,VNM_GINI_DISP_A_NTP,VNM_PM25_A_NTP,VNM_REL_RED_A_NTP,VNM_RPDI_A_NTP
2019,328481.10000000000000,195132.30000000000000,588441.30000000000000,0.75365970000000,0.09813840225488,-0.03350775528772,0.00000000000000,-0.01197579201657,4.39387791259072,2.02251617712137
2020,357818.00000000000000,203690.60000000000000,614250.00000000000000,0.76904050000000,-0.03826998538352,-0.02044458980173,0.00000212471839,-0.02527046213047,4.15173389873100,-3.43243509156015
2021,395302.20000000000000,215938.40000000000000,706952.00000000000000,0.79694980000000,-0.03730360694913,-0.01507807331266,-0.00064560814946,-0.01832934912328,9.11778961202820,341357.06907769900000
2022,442962.30000000000000,239629.60000000000000,778397.70000000000000,0.82350990000000,0.07373885623949,-0.01168049764298,-0.00057602368162,-0.01145206636305,8.56579615911580,328446.85526182400000
2023,498389.20000000000000,267064.10000000000000,861128.20000000000000,0.84888190000000,0.07022111433783,-0.00766923695720,-0.00051457574879,-0.01088920498164,8.05199179262812,315812.29059885000000
2024,563070.40000000000000,298909.40000000000000,957160.10000000000000,0.87317540000000,0.02820342976422,-0.00389467764427,-0.00045893601528,-0.01060405249361,7.57171859385039,303662.64010972400000
2025,634746.70000000000000,333800.50000000000000,1062382.00000000000000,0.89653670000000,0.03453646625100,-0.00081504772562,-0.00041087291379,-0.01036569941496,7.14325486430929,291991.97016784400000
2026,701347.90000000000000,371457.40000000000000,1120172.00000000000000,0.91906740000000,0.03372107925104,0.00168393073928,-0.00036790498428,-0.01021430169956,3.92569272276643,-8.87980564279701
2027,774094.70000000000000,406035.40000000000000,1224442.00000000000000,0.94091280000000,0.01809401641399,0.00340253649039,-0.00033409655407,-0.01021495902541,3.93595343933389,8.62418625489737
2028,852914.70000000000000,443218.30000000000000,1336565.00000000000000,0.96217900000000,0.00696874653278,0.00548859917746,-0.00030267689403,-0.01022842297147,3.92064194737054,-4.97377404918023
2029,937579.70000000000000,482878.20000000000000,1456155.00000000000000,0.98293890000000,0.00382221684150,0.00710345247346,-0.00027645005339,-0.01027120291549,3.89731655916318,6.69075019832983
2030,1028115.00000000000000,525026.80000000000000,1583251.00000000000000,1.00325000000000,0.00255027277817,0.00835726524042,-0.00025377255588,-0.01034108693876,3.87250253139710,-22.24640236123220
2031,1124325.00000000000000,570640.00000000000000,1720792.00000000000000,1.01863000000000,0.00266585657043,0.00939311292112,-0.00023386777552,-0.00871814449153,3.86049935513127,-15.26720175128130
2032,1226018.00000000000000,618691.20000000000000,1865686.00000000000000,1.03401100000000,0.00436389460380,0.01017461901333,-0.00021310949455,-0.00895211634084,3.85276438635055,22.71377617676660
2033,1334399.00000000000000,669770.50000000000000,2019710.00000000000000,1.04939200000000,0.00451950341392,0.01082617207967,-0.00019679187979,-0.00919019619499,3.84686914531560,-14.86837557591250
2034,1449931.00000000000000,724074.70000000000000,2183456.00000000000000,1.06477300000000,0.00503801982566,0.01133315359477,-0.00018065544603,-0.00943201494824,3.84272214888180,-1.63388926618897
2035,1573073.00000000000000,781795.20000000000000,2357499.00000000000000,1.08015400000000,0.00560868556024,0.01176411562005,-0.00016690970648,-0.00968104323179,3.83996888815524,-0.47317251948475
2036,1704845.00000000000000,841817.10000000000000,2538486.00000000000000,1.09553500000000,0.00560953096344,0.01211282822658,-0.00015468466500,-0.00995656406560,3.82839839898408,-11.49790080245770
2037,1846482.00000000000000,906095.00000000000000,2732306.00000000000000,1.11091500000000,0.00445865905650,0.01238635150190,-0.00014401999164,-0.01021749391537,3.81506991792000,-16.45414875614940
2038,1997249.00000000000000,974206.70000000000000,2937684.00000000000000,1.12629600000000,0.00508950654739,0.01259244181926,-0.00013243756716,-0.01048624873852,3.80267613899394,0.98700070365302
2039,2157713.00000000000000,1046367.00000000000000,3155268.00000000000000,1.14167700000000,0.00549992958194,0.01276723345744,-0.00012314802062,-0.01076341850225,3.79102466306132,8.72749160301124
2040,2328473.00000000000000,1122800.00000000000000,3385740.00000000000000,1.15705800000000,0.00596101033789,0.01290941728561,-0.00011408259135,-0.01104297118443,3.77997062791967,-0.15794083031461
