__yearly__,prem,gcarbrb,head55,gdnratio,itax,user,enab,shareh,exphb,glnratio,itaxr,yed,head19,glnt,finc,int,sharee,sdli,techl,lrxm,lrxf,lock,gint,tfp,canratio,eff,gcarb,lrxf_switch,urxf,scr,oxs,inft,lti,oms,can,taxr,cxs,gcarbb,gtrader,expeb,urx,rel_red,sharex,labsh,canoth,prof,ctax,gdfxsh,gcarbr,solv,lrx,dep,sharesp,expspb,skrat,ctaxr,expe,pr,pcr,itr,goth,mtn,popwaf,mtn_S,popt,climloss,gasc,igr,k,yen,ybar,xtr,yer,expsp,mtr,xtn_S,yft,gtrade,tax,pe,xtdno_S,yer_S,ipr,lnn,gip,poil,rc,gdi,lfnm,mtd,gini_disp,coalc,mtr_S,ogc,lives,hic,yft_S,popwa,lfnf,lnnf,pm25,ogi,yen_S,gdn,exr,rpdi,gcr,exp,gcom,rev,lfn,ec,xtn,exph,pc,oilc,popwam,pg,co2,xtr_S,xtd_S,res_gdn,res_taxr,res_pe,res_expeb,res_yft_S,res_itaxr,res_popwaf,res_xtr_S,res_shareh,res_sharesp,res_gcarbrb,res_sharex,res_ec,res_pcr,res_scr,res_lrxf,res_mtd,res_yft,res_xtn_S,res_techl,res_pg,res_eff,res_exphb,res_popt,res_skrat,res_inft,res_gdfxsh,res_gcarbr,res_tfp,res_gasc,res_gcr,res_gtrader,res_ogi,res_pr,res_poil,res_oms,res_oilc,res_prem,res_finc,res_popwa,res_urxf,res_yen_S,res_gip,res_yed,res_pc,res_hic,res_canoth,res_ipr,res_labsh,res_user,res_mtn_S,res_lnnf,res_glnt,res_oxs,res_expspb,res_gcarbb,res_expe,res_co2,res_ctaxr,res_goth,res_lock,res_ogc,res_lives,res_lnn,res_expsp,res_gini_disp,res_yer_S,res_mtr,res_exr,res_lrxm,res_sharee,res_dep,res_rc,res_pm25,res_exph,res_gcom,res_rel_red,res_gint,res_enab,res_ybar,res_igr,res_mtr_S,res_climloss,res_solv,res_cxs,res_xtr,res_coalc,res_xtdno_S,cmud,cxud,remit,revg,wdr,wld_poil,wld_pr,wld_co2,wld_oilc,wld_techl,wld_coalc,wld_pg,wld_gasc,wld_lock,wld_pc,usa_int,usa_inft,eff_eviews,climloss_eviews,co2_eviews,ctax_eviews,ec_eviews,expe_eviews,exph_eviews,expsp_eviews,exr_eviews,gasc_eviews,gcarb_eviews,gcom_eviews,gcr_eviews,gdfxsh_eviews,gdn_eviews,goth_eviews,gtrade_eviews,hic_eviews,igr_eviews,ipr_eviews,itax_eviews,lives_eviews,lrx_eviews,lnn_eviews,mtr_eviews,ogc_eviews,ogi_eviews,oilc_eviews,oms_eviews,pcr_eviews,pm25_eviews,prem_eviews,prof_eviews,rc_eviews,rpdi_eviews,scr_eviews,taxr_eviews,techl_eviews,user_eviews,xtn_eviews,yft_eviews,rel_red_eviews,can_eviews,xtd_S_eviews,xtdno_S_eviews,xtr_eviews,lnnf_eviews,urx_eviews,,__unknown__,
2010,324.1208264,-22.87053271,46.8,46.78633214,218649.0,12.94215039,0.65,0.0,61960.90943,-2.858025834,0.147785758,0.685893147,4.0,-2.858025834,21.36949348,9.0,0.0,0.63975261,3.432843673,0.854996046,0.8115656,0.0,2.515926172,-0.001521324,-3.688377001,0.615232438,-57941.62068,0.0,1.08,54266.137,0.079057138,5.0,13.13525,0.077144202,-4.276,0.024032161,0.321408927,-57941.62068,0.047672403,8690.782074,1.11,13.82716049,0.0,0.456717171,-3.014941506,1051892.312,148655.0,0.512,-22.87053271,0.0,0.8337215,0.029778963,0.0,118946.2496,0.40349781,0.141321501,8690.782074,33.68142225,2138836.203,874988.397,135307.7283,1730901.835,30113.372,92.99465882,87967.655,24080.34562,0.32662548,233058.4604,7537294.274,2157828.0,7.168303385,1990912.711,3146011.895,118946.2496,2101384.754,83.47360031,3125715.23,74068.0,26276.0,12.08601936,0.857352095,144.99376,641929.9366,50683.54,25400.0,11.47499397,0.268697718,3009337.823,26813.465,0.823695819,34.9,0.609326486,96.84886354,194408.7948,0.221,0.691731234,144.058325,61474.295,24438.97695,24175.036,39.36539699,240500.2641,115.9317499,1009568.575,18612.91667,1651878.492,188393.2003,649907.0,31353.61066,588235.7183,51252.44211,1.872873011,1553687.167,61960.90943,4.869914585,0.668223327,31360.923,9.03246004,136.1131,91.75741527,0.909720485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.043022294,1.066440331,153742.6919,11868.0,833.6899581,79.63475047,0.12125312,32051.0227,172.4497491,15.45154143,150.7142369,10.90939051,113.6619177,0.0,105.4308333,0.136666667,2.0,,,,0.0,0.11494496,-1049.34847,-7481.327335,-14361.89102,1035.880833,0.05850424,-20279.56724,-1917.367712,9168.492469,-0.02165666,74157.20513,,0.0,,24077.24289,,0.0,-0.14643341,0.000100984,-0.01113597,0.01660121,8023.091118,-0.05171085,0.02556574,-0.00541882,0.02518915,,-14.05916628,-1630.340522,,0.0,-80447.56199,0.00902457,-0.02206694,1.60135016,0.0,0.00012984,3.31010305,0.0,-0.00903672,0.10967327,-0.01864214,-0.0123884,0.0,,,
2011,397.8290943,-25.91898,43.8,45.5585193,272873.0,18.00213376,0.65,0.0,71511.13,-1.147271416,0.149292648,0.8317186,3.35,-1.147271,21.36949348,15.0,0.0,0.63975261,3.456914489,0.865127859,0.8111884,0.0,2.351887455,0.011059664,0.171905685,0.630613249,-77106.2262,0.0,0.9,89278.67015,0.087902304,5.0,16.95383333,0.097963477,0.233,0.028918021,0.323439171,-77106.23,0.036885849,9770.417,1.0,13.61386139,0.0,0.459463582,-2.765402438,1355128.584,196058.0,0.512,-25.91898172,0.0,0.8385705,0.034437783,0.0,142669.1,0.424280058,0.144678522,9770.417023,32.72047735,2226463.19,806623.1697,157257.3714,2321858.477,30615.673,113.2075465,88871.384,25583.03063,0.2945952,206307.1936,8084349.737,2779880.0,7.489040494,2205620.931,3342332.37,142669.129,2187466.28,107.605945,3320639.087,81406.0,38469.0,15.23872346,0.956275479,154.0418008,600315.9761,51622.627,29786.0,16.40972491,0.384163094,3192247.849,27308.989,1.06143738,34.9,0.726157248,100.8161989,246040.853,0.138,0.820930942,153.0419983,62182.09257,24835.07871,24611.563,38.4869748,251520.5255,135.5394386,1266472.166,20509.75,1803662.827,201812.4989,751298.0,38345.08996,719405.2314,52144.06768,2.131589424,2206971.03,71511.13422,5.938066303,0.726673882,31566.42,12.47886442,145.0478,101.6529125,1.05856234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.111745041,1.14906885,176383.85,12103.0,939.939179,111.0824721,0.117793718,33100.0654,174.1615602,15.46658956,158.1947097,14.72930883,116.4138864,0.0,125.7366667,0.0525,2.0,0.01538081,0.56499085,-0.03589364,0.0,0.11130802,-2077.255725,-15203.73845,-30332.37215,1338.445833,-0.33378824,-26987.17917,-3642.242801,4764.804764,-0.0242,172333.8845,21949.64304,0.0,0.07641986,23026.9971,,0.0,-0.08989553,0.004654803,-0.01868068,-0.034253,10299.45317,-0.1479689,-0.09896321,0.01782638,-0.01255534,-0.02611851,7.20969961,0.0,,0.0,35086.42148,0.00488586,-0.00016939,1.78666294,0.0,-0.00916913,3.4128456,3.98e-06,0.02267509,0.07490688,-0.01048553,-0.01794408,0.0,,,
2012,423.6402,-35.03266,40.8,48.1131,258080.0,13.68328,0.65,0.0,90217.24,-6.856424,0.1233975,0.9225925,2.7,-6.856424,24.56331,9.0,0.0,0.6358282,3.494775,0.868378572,0.8153498,0.0,2.554257,0.0175764,5.947247,0.6459941,-99004.61,0.0,0.93,-21123.71,0.0811557,5.0,13.47167,0.0855397,9.267,0.0262974,0.2873188,-99004.61,0.0274427,10640.76,1.03,13.89578,0.0,0.4642363,-6.1918,1600508.0,215798.0,0.512,-35.03266,0.0,0.8421898,0.0336668,0.0,172153.3,0.430875572,0.134831,10640.76,30.63603,2335097.0,821729.9,192979.3,2483567.0,31068.764,119.2418,89801.93,26925.47,0.3249927,247592.2,8633905.0,3245419.0,7.759153,2552106.0,3517717.0,172153.3,2386411.0,124.7006,3525964.0,71276.0,44959.0,15.20671,0.965105,162.1249,574137.7,52436.63,39884.0,15.93883,0.4952468,3473717.0,27650.439,1.040712,34.7,0.6739993,109.9852,299860.6,0.072,0.8956597,162.505,62910.22,25331.91,25096.32,37.22745,343212.0,155.82,1561472.0,20828.0,1993696.0,216318.6,955967.9,39093.6,733448.2,52982.35,2.236365,2597264.0,90217.24,3.707265,0.7421262,31841.457,13.87117,135.6859,117.6217,1.060183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.099392,1.118636,208280.0,10267.0,987.4272,111.9596,0.1102897,33659.0,176.5767,15.48205,158.9142,16.74817,119.4036,0.0,105.5042,0.0858333,2.0,0.01538085,0.55862764,-0.04795943,-0.094148,0.01460036,-1162.613604,-9857.170965,-18809.53696,-297.0425,-0.140135,-34651.61565,1532.852905,-23439.38103,-0.00384646,62418.38053,35721.92863,0.0632272,0.00690255,-31157.42938,,0.01746492,-0.06962069,0.003423964,-0.01946813,-0.01811822,26937.22707,0.20713025,-0.15845833,-0.01796261,-0.02206813,-0.03750884,1.32714008,0.2042057,,1.08113131,-110398.9064,-0.00262062,0.00943575,1.78073494,0.18195452,-0.00118716,3.55150798,-5.347e-05,-0.00755346,-0.06213129,0.10436483,-0.01936696,-3.39e-06,,,
2013,486.3241,-11.62235,37.9,51.68903,300607.0,9.865695,0.65,0.0,107739.5,-7.443931,0.1281976,0.966514,2.65,-7.443931,27.75713,7.0,0.0,0.6358282,3.543957,0.88002429,0.8252107,0.0,2.919246,0.0228389,4.522783,0.6613749,-34278.69,0.0,1.14,-40095.84,0.0598019,5.0,10.37417,0.0638713,7.744,0.0229085,0.2400361,-34278.69,0.0261071,14105.84,1.32,13.89578,0.0,0.4643786,-6.951099,1758796.0,231146.0,0.512,-11.62235,0.0,0.8529191,0.0319495,0.0,197784.8,0.448701944,0.1314229,14105.84,28.63101,2456056.0,865271.0,149817.0,2920030.0,31476.825,139.4913,90752.59,28385.33,0.3387497,266408.7,9223327.0,3584262.0,8.049802,2995509.0,3708443.0,197784.8,2800321.0,143.1864,3779268.0,78253.0,46548.0,15.625,0.9709986,170.9151,598862.3,53575.12,54084.0,17.00744,0.5341404,3590745.0,28316.757,1.042748,34.7,0.719894,129.0615,335355.4,0.215,0.9547311,174.1793,63654.07,25975.01,25678.9,36.83591,385053.5,171.222,1852670.0,20933.42,2190288.0,232023.8,1094123.0,44096.69,827313.0,54291.77,2.349168,2997380.0,107739.5,4.975727,0.7563838,32177.245,14.66163,140.8932,138.0574,1.037151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.083173,1.125137,230267.6,11124.0,1049.723,108.844,0.1030716,33869.8,178.4516,15.49795,162.0244,16.16939,121.3543,0.0,90.89667,0.0583333,2.0,0.0153808,0.56284118,-0.00672216,-0.0708284,0.01754094,-671.5312032,-5129.112202,-9415.863551,-519.42,-0.10756153,-11997.54389,7310.721691,-18044.13102,-0.00126137,20341.49944,-43162.3,0.100602,-0.02598465,-12521.30391,,-0.09687132,0.14104813,0.01079955,-0.01931276,0.04405687,21219.4538,0.06852581,-0.08175757,-0.02117746,-0.03165724,-0.00220827,52.54643319,0.111783,,-0.99707398,-19158.75546,-0.0033889,0.02589669,0.52810511,0.32457655,-0.00371309,3.37387358,5.156e-05,-0.02600029,-0.01669198,0.09908367,-0.018399,2.51e-06,,,
2014,452.5351,-6.488929,35.0,54.71596,334651.0,7.477025,0.65,0.0,112264.9,-6.289603,0.129208,1.001912,2.6,-6.289603,30.95094,6.5,0.0,0.6338679,3.573428,0.87998485,0.827383,0.0,3.097414,0.0138303,4.627704,0.6767557,-21899.21,0.0,1.11,-52548.67,0.0516315,5.0,8.665,0.0575678,8.617,0.0218631,0.2268777,-21899.21,0.0280979,14383.1,1.26,14.14392,0.0,0.469285,-9.4812,1912275.0,207807.0,0.512,-6.488929,0.0,0.8539778,0.029995,0.0,207752.8,0.47091054,0.10867,14383.1,27.53889,2606367.0,945358.3,154008.6,3273530.0,31843.658,154.7915,91713.85,30083.81,0.3546954,261461.5,9892032.0,3937856.0,8.39,3341794.0,3930343.0,207752.8,3158893.0,160.8897,4008261.0,95603.0,47844.0,14.50224,0.9986939,181.1421,683896.7,54309.11,66738.0,15.73515,0.5707679,3874327.0,28655.23,1.03629,34.6,0.8698209,145.5874,351789.9,0.038,0.9937276,184.7332,64406.98,26346.9,26054.45,34.89602,370489.3,186.2047,2154636.0,21148.0,2224985.0,248265.0,1123418.0,46678.04,875742.5,55002.13,2.574476,3402495.0,112264.9,4.596722,0.7791915,32563.322,15.10685,159.5828,154.017,1.044623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.060988,1.110168,253776.0,11050.0,1110.045,98.94337,0.09914,34117.57,179.5816,15.51427,162.378,16.3293,122.2417,0.0,77.8875,0.0325,2.0,0.0153808,0.57079608,0.01123214,0.07575,0.0421035,-526.772477,-4111.635145,-7608.82265,-413.4226,-0.1032212,-7664.724923,6611.51868,11782.46732,-0.0025478,44567.12391,4191.6,0.0357395,-0.01229672,23639.50025,,-0.15216348,-0.18343243,0.001626247,-0.01656082,0.04206989,4152.308072,-0.07452739,-0.07192596,-0.00370644,-0.01340971,-0.04945746,-27.11094262,0.058425,,0.03143621,-13124.59143,-0.0010454,-0.00142127,0.30548749,-0.12984366,0.00794657,3.82352466,-1.26e-05,-0.01456873,0.00463096,0.06319696,-0.01668326,1.243e-05,,,
2015,397.8291,-0.4053944,31.1,57.09777,347521.2,5.511423,0.65,0.0,129728.2,-6.169897,0.1219569,1.0,2.2,-6.169897,30.89923,6.5,0.0,0.6319088,3.597143,0.880709906,0.8251649,0.0,3.426105,0.011218,-1.055355,0.6921365,-1622.309,0.0,1.7,10828.51,0.0263209,5.0,7.1175,0.0384764,-2.03938,0.0234741,0.1794162,-1622.309,0.0263833,15058.8,1.85,14.39206,0.0,0.4730307,-16.56808,2026377.0,200030.0,0.512,-0.4053944,0.0,0.8533067,0.0284987,0.0,231960.3,0.456178753,0.0987131,15058.8,23.67632,2849540.0,1033780.0,229323.0,3731151.0,32148.303,171.9617,92677.08,32093.2,0.3703284,298954.9,10643900.0,4192862.0,8.9875,3764320.0,4192862.0,231960.3,3731151.0,173.4904,4244504.0,99315.0,56723.0,9.802152,1.0,193.2411,734825.0,54575.29,82022.0,8.537472,0.5229705,4192862.0,29076.309,1.0,34.5,1.098444,171.9617,374519.6,0.052,1.0,195.6212,65162.93,26527.65,26076.68,32.46644,421640.6,193.2411,2394031.0,21697.57,2371691.0,265544.8,1254929.0,53100.38,996234.2,55603.96,2.861806,3764320.0,129728.2,4.217676,0.8700629,33014.628,9.744925,184.4356,173.4904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,282068.4,11844.0,1120.4,52.39942,0.0852347,34043.37,183.4892,15.53092,158.5145,10.30536,125.0878,0.0,63.51668,0.0533333,2.0,0.0153808,0.58024414,-0.02423985,0.0445613,0.02535122,28.73747954,247.5669704,442.6617244,-84.87,-0.14551885,-567.8081045,21478.88459,-19730.96834,-0.00640772,-47968.31272,75314.4,-0.183856,-0.02574853,-19135.88293,0.0,0.135174,0.01273093,-8.21765e-05,-0.02469565,0.07836487,23401.03869,0.1312389,-0.03695366,-0.01669966,-0.0028137,-0.07604547,-25.05046394,0.45036256,0.0,-0.49976217,63339.00753,0.001611,-0.0087849,0.0206026,-0.43372604,0.0031783,3.85841285,3.93e-06,-0.02819767,-0.00116648,0.13595477,-0.0245347,5.86e-06,,,
2016,397.8291,-0.552451,27.2,59.66214,385338.0,5.393721,0.65,0.0,137673.9,-3.962682,0.1227527,1.011106,1.8,-3.962682,30.84751,6.5,0.0,0.6319088,3.613838,0.879138945,0.8236732,0.0,3.230425,0.00792544,0.3042433,0.7075173,-2247.07,0.0,1.7,-10872.79,0.0171018,4.75,6.96,0.033705,0.624539,0.0264867,0.1670298,-2247.07,0.022802,15529.91,1.85,14.60396,0.0,0.4747148,-18.63376,2162807.0,188485.0,0.512,-0.552451,0.0,0.8517279,0.0271367,0.0,225872.3,0.476874511,0.0871483,15529.91,22.88425,3057557.0,1136311.0,273899.2,4100294.0,32411.119,186.9293,93640.44,34086.44,0.3685914,297902.6,11491370.0,4502733.0,9.585,4286181.0,4453273.0,225872.3,4301470.0,192.1876,4466557.0,96125.0,67958.0,9.202888,0.9751968,205.243,838408.8,54825.79,86783.0,7.162425,0.6005209,4586039.0,29163.009,0.9532308,34.5,1.188646,198.2467,385580.9,0.162,1.026682,205.8552,65583.36,26696.17,26242.34,30.24131,402237.0,205.2762,2686427.0,21935.0,2485699.0,285566.9,1253677.0,57311.9,1075248.0,55859.18,3.088531,4215636.0,137673.9,4.713275,0.9307731,33172.242,6.543635,185.4322,197.542,0.9728951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962216,0.9694582,307090.0,8378.0,1145.903,44.04752,0.0823833,34034.53,186.8301,15.54778,156.4612,6.936873,127.9638,0.0,71.12264,0.3191667,2.0,0.0153808,0.57907545,-0.06066562,0.0467219,0.00711826,-172.4751805,-1529.006333,-2508.537764,-359.253175,-0.21304201,-786.4746613,6853.479571,8220.644204,-0.00271887,100554.0525,44576.2,0.067928,0.00492306,21010.83914,0.0,0.24449688,0.1083852,-0.001211558,-0.02126435,0.05985511,6901.885322,-0.05815661,-0.10479584,0.00083991,-0.01078925,-0.08233761,12.42300931,0.343946,0.0,-0.08086587,-21619.99861,0.0030126,-0.01428702,0.02679351,-0.08664742,0.00505129,4.49928157,-5.523e-05,0.00017677,0.04848474,0.10880393,-0.02111149,8.65e-06,,,
2017,397.8291,-1.002955,24.8,58.22279,433825.0,5.665556,0.65,0.0,141950.3,-2.469303,0.1243578,1.052418,1.8,-2.469303,30.79579,6.25,0.0,0.6319088,3.63318,0.88534429,0.8252751,0.0,3.393274,0.00904642,-0.7377219,0.7228981,-4096.491,0.0,1.7,-33674.47,0.0279885,4.5,7.0675,0.0358101,-1.650873,0.0281386,0.1967257,-4096.491,0.0190765,17508.06,1.87,14.60396,0.0,0.4677175,-22.92187,2433676.0,217200.0,0.512,-1.002955,0.0,0.8555934,0.0259242,0.0,262748.5,0.494178467,0.0892477,17508.06,20.98273,3282289.0,1252215.0,335475.7,4945460.0,32686.447,221.0747,94600.64,36408.49,0.3427448,328494.9,12445680.0,5005975.0,10.1825,5003481.0,4756640.0,262748.5,5054212.0,227.3457,4726937.0,97018.0,78783.0,10.83709,0.9843769,219.2246,923719.7,55410.09,98901.0,8.824344,0.802046,4945973.0,29490.697,0.9784828,34.5,1.187695,232.9391,402548.6,0.284,1.062832,217.8556,65996.31,26975.31,26516.73,29.62673,431377.5,223.7799,2914618.0,22370.09,2633109.0,306541.6,1355034.0,65636.11,1231421.0,56466.01,3.306803,5085742.0,141950.3,6.566533,0.9743176,33309.863,7.61574,182.584,230.601,0.9858832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9961214,1.004799,335551.3,7580.0,1223.159,54.40091,0.0755378,34447.75,189.4268,15.56469,157.3968,8.09513,131.4323,0.0,99.42222,0.9466667,2.0,0.0153808,0.58773508,-0.02448383,0.0144548,0.01827153,-715.3483163,-5799.837795,-10735.43825,-113.285,-0.27228458,-1433.772516,-9896.523832,20144.39643,-0.00490617,77295.65528,61576.5,-0.157263,-0.00376431,18201.36454,0.0,0.10588269,0.11648209,0.003954856,-0.02014803,0.067665,1213.547477,0.02989652,-0.10302608,0.00366573,-0.00897639,-0.02509682,5.84181415,0.567625,0.0,-0.99630744,-22700.19694,0.0016519,-0.00629564,0.04548692,-0.93277414,-0.00106608,4.30608596,3.653e-05,-0.0017544,0.02929973,0.08309132,-0.01979151,-9.94e-06,,,
2018,373.4234,-2.888442,22.4,55.02908,478802.0,6.253523,0.65,0.0,158229.6,-1.291261,0.1235859,1.08818,1.8,-1.291261,30.79579,6.25,0.0,0.6299508,3.642739,0.889081359,0.8283201,0.0,3.597436,0.00445997,2.352582,0.7382789,-13825.61,0.0,1.03,-129432.0,0.0279885,4.25,7.371875,0.0358101,5.768853,0.0306719,0.1967257,-13825.61,0.0148891,20594.3,1.16,14.85149,0.0,0.4665951,-18.46285,2700912.0,251156.0,0.512,-2.888442,0.0,0.8589278,0.0255014,0.0,268885.8,0.50293182,0.0929893,20594.3,19.03321,3520581.0,1360531.0,385562.0,5679497.0,32948.682,251.2824,95545.96,38984.68,0.3477474,342504.0,13488830.0,5542332.0,10.78,5717254.0,5093210.0,268885.8,5701515.0,259.5141,4992412.0,87333.0,94366.0,10.9935,0.9741868,234.7365,1018027.0,56365.83,109718.0,11.42205,0.7603966,5253839.0,29735.289,0.9961382,34.4,1.58225,262.7721,428025.1,0.134,1.100456,230.0908,66393.64,27292.05,27010.95,29.50008,449982.2,245.2137,3049894.0,22602.05,2788712.0,325791.3,1435435.0,72695.72,1363869.0,57027.34,3.727491,5865550.0,158229.6,7.207862,1.037096,33444.959,9.360112,211.7741,263.4975,0.9848825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.027579,1.043976,361632.8,7779.865,1296.805,71.07119,0.0685196,35152.02,191.2071,15.5815,159.8562,10.04922,138.0541,0.0,111.6931,1.973333,2.0,0.0153808,0.59349462,-0.04706696,0.0837584,0.06625444,-699.8106804,-5376.767554,-9136.953168,-271.367025,-0.1847715,-4838.962973,-7524.700002,-632.1364308,-0.00257713,48236.21025,50086.3,0.239495,-0.00184257,6606.161299,0.0,0.00850915,-0.16004763,0.003146477,-0.0144489,0.0455501,11797.57867,0.00880825,-0.07721684,-0.00080629,-0.00695908,0.00171782,-20.16867815,0.286703,0.0,-0.55163516,-95446.79854,0.0025333,-0.01546783,0.13808808,0.67913724,0.0014375,4.88387252,1.605e-05,0.00161764,-0.03448323,0.0631043,-0.01469224,1.253e-05,,,
2019,318.1038,-1.231542,20.0736,54.97956,512666.1,6.615666,0.65,0.0,195132.3,-4.176437,0.1199021,1.107644,1.436201,-4.176437,30.79579,6.0,0.0,0.6299508,3.632453,0.889631341,0.8266913,0.0,3.762352,-0.00479929,4.763873,0.7536597,-7031.795,0.0,2.01,-204490.4,0.0279885,4.0,7.7075,0.0358101,12.4776,0.0322801,0.1967257,-7031.795,0.0125783,25170.42,2.04,14.85149,0.0,0.4665951,-12.8799,2946892.0,273198.1,0.512,-1.231542,0.0,0.8583484,0.0229485,0.0,328481.1,0.607652415,0.0927072,25170.42,17.33266,3779696.0,1607303.0,442658.1,6254976.0,33184.31,271.3627,96462.11,41720.4,0.3546954,417448.4,14786590.0,6037348.0,11.34067,6100985.0,5450623.0,328481.1,6177559.0,279.7202,5238587.0,81100.0,106832.5,9.112126,0.991405,251.2089,1189854.0,56139.06,124884.0,10.38315,0.6404143,5709375.0,29874.968,1.012532,34.4,2.067279,284.7121,485877.9,0.059,1.13123,241.4366,66765.6,27433.18,26881.77,29.38658,588441.3,261.9212,3319307.0,23050.24,2895191.0,344688.5,1747987.0,79729.97,1495841.0,57308.15,4.16635,6447619.0,195132.3,5.844967,1.103961,33581.29,9.355783,247.7089,281.1829,0.9947982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.048884,1.062799,391854.1,6688.0,1286.294,64.03192,0.0623976,35173.7,191.8012,15.59809,157.6857,9.94467,140.3936,0.0,88.98251,2.104167,2.0,0.0153808,0.59636767,-0.04038103,-0.0060224,0.04600716,-450.2169263,-3490.282019,-5875.458224,-3.851,-0.22661351,-2461.127317,18305.71637,-51391.68918,-0.00490475,-13697.85407,57096.1,-0.0860677,-0.0074848,-52382.05297,0.0,0.03083945,-0.07970167,-0.001179074,-0.03062013,0.04610457,50196.82346,0.25054049,-0.11932684,-0.00185171,0.00240553,-0.01197579,-48.57824578,-0.39640131,0.0,2.02251618,-73305.09749,0.0016082,-0.03350776,0.06343288,0.22071668,0.00853136,4.39387791,-2.773e-05,-0.00409332,-0.01114445,0.07301541,-0.03149709,-6.53e-06,,,
