__yearly__,yed,lock,finc,canoth,glnratio,solv,skrat,inft,lrxf_switch,ctax,lti,sharex,scr,expeb,lrxm,int,techl,urx,prof,head19,sharesp,head55,sdli,gdnratio,user,exphb,ctaxr,enab,labsh,oms,itax,oxs,urxf,lrxf,prem,taxr,eff,sharee,shareh,gcarbr,gint,can,tfp,gcarbrb,gdfxsh,canratio,itaxr,glnt,rel_red,gcarb,expspb,dep,lrx,cxs,gcarbb,gtrader,poil,expsp,lfnf,rpdi,xtdno_S,igr,ec,mtn,ipr,exp,rev,co2,itr,ogc,gtrade,xtn,oilc,exr,lives,popwam,exph,mtd,gini_disp,popwa,climloss,pe,pm25,gip,gasc,goth,pr,pcr,gcom,rc,popt,k,pc,expe,pg,mtn_S,ogi,mtr_S,ybar,lnn,xtn_S,xtd_S,lnnf,lfn,hic,gdi,yen,gcr,lfnm,mtr,coalc,yen_S,yer_S,yft_S,popwaf,gdn,tax,yer,xtr_S,xtr,yft,res_lrxf,res_popt,res_labsh,res_gdfxsh,res_yed,res_exr,res_poil,res_techl,res_expspb,res_gcom,res_exph,res_lnnf,res_yen_S,res_oms,res_glnt,res_pcr,res_pc,res_lrxm,res_eff,res_rc,res_prem,res_sharesp,res_coalc,res_pr,res_expsp,res_cxs,res_co2,res_skrat,res_gcarbb,res_lock,res_climloss,res_taxr,res_dep,res_gcarbrb,res_gtrader,res_gcr,res_popwa,res_inft,res_user,res_xtr,res_xtdno_S,res_popwaf,res_enab,res_gint,res_pm25,res_hic,res_sharex,res_gcarbr,res_pe,res_shareh,res_yer_S,res_itaxr,res_yft_S,res_xtn_S,res_oxs,res_ybar,res_exphb,res_sharee,res_scr,res_ogi,res_urxf,res_lives,res_ctaxr,res_canoth,res_expeb,res_gdn,res_mtd,res_yft,res_goth,res_gip,res_xtr_S,res_mtr_S,res_ec,res_ipr,res_mtn_S,res_mtr,res_pg,res_oilc,res_ogc,res_finc,res_lnn,res_igr,res_expe,res_gasc,res_solv,res_gini_disp,res_tfp,res_rel_red,cmud,cxud,remit,revg,wdr,wld_poil,wld_pr,wld_co2,wld_oilc,wld_techl,wld_coalc,wld_pg,wld_gasc,wld_lock,wld_pc,usa_int,usa_inft,eff_eviews,climloss_eviews,co2_eviews,ctax_eviews,ec_eviews,expe_eviews,exph_eviews,expsp_eviews,exr_eviews,gasc_eviews,gcarb_eviews,gcom_eviews,gcr_eviews,gdfxsh_eviews,gdn_eviews,goth_eviews,gtrade_eviews,hic_eviews,igr_eviews,ipr_eviews,itax_eviews,lives_eviews,lrx_eviews,lnn_eviews,mtr_eviews,ogc_eviews,ogi_eviews,oilc_eviews,oms_eviews,pcr_eviews,pm25_eviews,prem_eviews,prof_eviews,rc_eviews,rpdi_eviews,scr_eviews,taxr_eviews,techl_eviews,user_eviews,xtn_eviews,yft_eviews,rel_red_eviews,can_eviews,xtd_S_eviews,xtdno_S_eviews,xtr_eviews,lnnf_eviews,urx_eviews,,__unknown__,
2000,0.270950534,0.0,21.36949348,0.277795399,-2.038284056,0.0,,5.0,0.0,22240.0,10.55,0.0,90308.18977,1050.131513,0.871033955,6.0,3.376608258,2.26,,34.76,0.0,89.0,0.618228467,31.43166935,,8124.904736,,0.65,0.496174774,0.12514729,29809.0,0.227570371,2.14,0.82067909,397.8290943,0.007752329,0.461424328,0.0,0.0,,2.531395528,0.85,0.005592331,,0.512,2.726751176,0.080890621,-2.038284056,15.28822055,,16579.88,0.007408527,0.8459668,0.480747859,,0.055285148,4.078977958,16579.88,20243.26385,699025.2148,0.518055517,57741.16944,0.754747684,253927.0,244441.6584,99751.0,90749.0,52.3321,302182.8279,42366.08109,13437.0,243049.0,0.35732363,14167.75,0.592,24883.515,8124.904736,0.374998146,33.8,49549.994,12476.32406,3.221891058,36.23884543,3514.0,0.055584,,,1116060.642,4837.021496,0.14551,79910.411,2879935.62,1.466988136,1050.131513,3.910628519,17.92288825,28116.00266,31.2081995,4.398061452,40970.311,17.15508814,0.52310074,19810.058,41917.64989,0.330188119,1557203.054,441646.0,87006.21836,21674.386,677142.0151,0.196330054,31.17262798,75.12305532,75.92509295,24666.48,138816.7104,1831.0,1629987.564,32.79499881,711571.7003,1647389.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.793979956,0.738342068,18984.85173,2028.0,367.1979097,28.3075,,24338.3724,,15.2969545,,4.72325075,,0.0,31.75944444,5.995833333,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254109.418758341,,,,,,,,,,,,,,,,
2001,0.276229258,0.0,21.36949348,0.565798008,-2.783531929,0.0,,5.0,0.0,25805.0,9.42,0.0,112559.4624,1227.082258,0.871197636,4.8,3.381725387,2.76,,35.88,0.0,89.0,0.620179226,32.27661538,,8131.019986,,0.65,0.488312266,0.111628484,33972.0,0.195654022,3.27,0.82165173,397.8290943,0.008213837,0.476805139,0.0,0.0,,2.887108533,0.92,0.002498756,,0.512,2.814729705,0.088516149,-2.783531929,15.25,,18202.56846,0.011292399,0.846559,0.463591107,,0.06641912,3.51760665,18202.56846,20743.62452,752890.2614,0.524592253,75567.88922,0.852339406,273828.0,259005.9587,117285.0,103888.0,59.5292,334573.848,46970.92402,17458.0,262846.0,0.387384734,14725.16667,0.392,25521.578,8131.019986,0.381215689,33.9,50767.82732,13336.56634,2.971453477,36.54099493,4485.0,0.06948,,,1165965.843,5537.344645,0.180917532,80742.5,3181988.085,1.704184051,1227.082258,3.839765239,18.59591855,38268.40527,33.10518659,4.61891783,41791.771,17.85012054,0.513104314,20065.308,42977.96277,0.329164338,1667796.613,481295.0,92752.58685,22234.338,718302.0207,0.21455714,32.68519881,80.30278838,81.22655885,25246.25,155345.736,2058.0,1742375.171,34.78848271,754825.4518,1762418.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.755206087,0.71542006,16197.68337,2011.0,377.2684271,24.41166667,,24555.2741,,15.31239546,,4.637662195,,0.0,36.89459877,3.469166667,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258010.003501655,,,,,,,,,,,,,,,,
2002,0.287159112,0.0,21.36949348,-0.584961447,-2.355150235,0.0,,5.0,0.0,29271.0,9.061666667,0.0,97615.08862,1438.431847,0.868120561,4.8,3.396251751,2.12,,37.0,0.0,89.0,0.62408429,35.18574795,,9873.240246,,0.65,0.475774096,0.099832162,41731.0,0.179427983,2.33,0.82153072,397.8290943,0.008379937,0.49218595,0.0,0.0,,2.827408208,-0.62680084,0.006911268,,0.512,-1.787585426,0.097067853,-2.355150235,15.17412935,,18201.35799,0.013877276,0.8450019,0.438376561,,0.07202674,3.602142565,18201.35799,21187.79154,835388.7124,0.522141736,89343.53551,0.933492995,331946.0,288269.5919,134334.0,121716.0,68.6613,377613.1274,51978.28671,21915.0,304262.0,0.425472775,15279.5,0.147,26183.886,9873.240246,0.413568055,34.1,51974.51219,14280.77121,2.880813001,36.84314444,5330.0,0.083376,,,1254898.293,6487.59665,0.179631871,81534.406,3515443.885,1.404502505,1438.431847,3.538174969,21.72492555,47512.6832,36.99213574,4.860692979,42987.488,19.91308616,0.514055094,20694.116,43918.5615,0.342590124,1738057.955,535762.0,97740.72083,22730.77,802639.3621,0.245012349,35.0641055,85.98808115,87.08916172,25790.626,188511.867,2338.0,1865732.195,38.73726064,840504.3274,1889622.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745386844,0.723487797,27044.715,2250.0,408.7488304,24.99833333,,25116.161,156.957217,15.32809158,103.5093926,4.273401959,90.0555505,0.0,30.40666667,1.633333333,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208709.7700457938,,,,,,,,,,,,,,,,
2003,0.306308101,0.0,21.36949348,-0.724141333,-3.248647389,0.0,,5.0,0.0,47410.0,9.48,0.0,79714.96757,2191.512742,0.863843741,5.0,3.408093026,2.25,,31.4,0.0,86.6,0.62408429,37.8824733,,12043.3021,,0.65,0.469521849,0.096789691,51699.5,0.173802894,2.64,0.82015837,397.8290943,0.009678876,0.507566761,0.0,0.0,,2.751870597,-1.931,0.005559737,,0.512,-4.88211707,0.107776153,-3.248647389,15.38461538,,22018.21149,0.017748563,0.8422126,0.411530159,,0.06151044,4.156413143,22018.21149,21596.40201,876525.2565,0.538037192,114446.9249,1.00763217,415023.0,308109.7046,172885.6,152957.0,76.277,422556.6295,62244.20412,22373.5,363735.0,0.453731377,15509.58333,0.128,26847.04,12043.3021,0.460240541,34.1,53179.02957,15329.15049,3.278120949,37.14529394,6395.0,0.08243802,,,1355430.627,8152.776306,0.186208846,82301.65,3875606.437,1.687305945,2191.512742,3.948655002,26.75913279,67993.36954,41.56006761,5.127741725,43780.318,23.45227413,0.540199977,21026.257,44788.0491,0.353904732,1811055.57,613443.0,104769.8886,23191.647,901752.3723,0.285253927,39.55251323,92.30063395,93.04210762,26331.99,232387.3807,2951.0,2002699.235,43.41405988,941979.4946,2018787.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.788497659,0.794825058,32570.12493,2969.0,460.8263418,28.84488866,,26346.3406,160.4511864,15.34405902,112.6118898,4.769179074,92.5608193,0.0,36.52919753,1.03,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170066.3838538332,,,,,,,,,,,,,,,,
2004,0.36187167,0.0,21.36949348,-0.678338201,-0.189998785,0.0,,5.0,0.0,56987.0,9.7225,0.0,86676.80911,2024.778351,0.859831109,5.0,3.403021965,2.14,,25.8,0.0,84.2,0.62799412,37.28246939,,15434.9055,,0.65,0.456089874,0.11130232,68985.0,0.196186665,2.44,0.81885051,397.8290943,0.010465658,0.522947572,0.0,0.0,,2.483854675,-1.591,-0.002312859,,0.512,-3.214508467,0.125617424,-0.189998785,15.0990099,,26220.77921,0.021411265,0.8395842,0.419337737,,0.045966109,5.516103904,26220.77921,22005.3239,927797.6037,0.60372564,100525.1759,1.232726811,524216.0,366151.716,192373.0,190892.2673,87.8002,466676.8919,75006.48485,21614.0,470216.0,0.540729827,15746.0,0.189,27519.475,15434.9055,0.533762882,34.3,54392.90783,16484.41821,4.582489671,37.44744345,7217.0,0.1445184,,,1438194.081,10174.76777,0.173640382,83062.819,4259301.694,3.344970063,2024.778351,4.290478708,33.29201067,66469.05209,45.2637837,5.418774659,44690.142,29.86256827,0.628608929,21468.394,45667.42489,0.381845158,1968582.395,779338.0,113436.8528,23662.101,982114.0021,0.373838202,49.49434777,99.25678872,99.18485913,26873.433,290556.4513,3521.0,2153630.873,47.50579713,1030760.24,2152070.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84127187,0.862207439,39629.22731,2877.0,531.4235069,38.28094019,,27569.0776,166.5475776,15.36020505,120.4823037,5.182033189,96.14576741,0.0,72.41666667,1.395,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084450.1267710195,,,,,,,,,,,,,,,,
2005,0.394617283,0.0,21.36949348,-1.799170447,-1.211339505,0.0,,5.0,0.0,75847.0,11.025,0.0,83915.93989,3655.328787,0.856638297,5.0,3.412657265,2.13,445554.8012,22.3,0.0,82.05,0.629950834,36.40184821,9.908563454,22577.1323,0.170230463,0.65,0.453992599,0.129994844,82830.32,0.20937086,2.29,0.81827856,360.8137907,0.009736828,0.538328383,0.0,0.0,,1.990001861,-0.560189,0.004374355,,0.512,-0.971989163,0.131474523,-1.211339505,14.85148515,,36066.22247,0.021968241,0.8377318,0.439959109,,0.040637969,7.843609525,36066.22247,22434.32607,1111120.331,0.585751772,117291.1674,1.304920167,612520.8187,394890.8761,239364.0,228292.3448,94.8591,512182.0435,87157.92061,23660.0,582214.1346,0.529127977,15858.91667,0.308,28209.285,22577.1323,0.559292142,34.4,55625.775,17728.53809,5.582979537,37.74959295,6621.0,0.2237256,,,1522135.445,12168.23303,0.160601582,83832.662,4677914.371,2.85642737,3655.328787,5.007217052,38.62311856,83286.39584,50.47439108,5.726730542,45606.911,36.7121,0.680610733,21920.58,46599.47992,0.413899055,2169054.731,914001.0,122743.3863,24165.154,1095171.507,0.391465008,57.63325574,106.7479444,105.6939013,27416.49,332713.2566,4234.0,2316170.73,53.93993693,1170365.422,2293300.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.877338869,0.898425188,49955.58761,3789.0,587.420745,54.43348283,,28472.6764,168.0411627,15.37630886,129.4095053,6.047708592,98.7775377,0.0,61.84,3.213333333,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000466.2368702436,,,,,,,,,,,,,,,,
2006,0.428431832,0.0,21.36949348,-2.033510911,0.254568567,0.0,,5.0,0.0,99796.0,11.17625,0.0,70526.1592,5533.053017,0.855393665,6.5,3.445114805,2.08,517488.9114,18.8,0.0,79.9,0.629950834,38.4068817,10.85514393,25029.98524,0.192846644,0.65,0.449958512,0.129360387,98963.0,0.195713971,2.09,0.81616356,318.1038249,0.009942539,0.553709194,0.0,0.0,,1.953575235,-0.1637418,0.014604546,,0.512,-0.246704374,0.135967387,0.254568567,14.85148515,,41587.19958,0.025855159,0.8360622,0.429948938,,0.036503672,9.42041661,41587.19958,22821.34716,1229602.262,0.604838851,119091.6496,1.192666742,750800.172,443808.1147,276774.0,279476.4108,99.1304,562899.7643,103818.1663,26280.0,719927.5766,0.519374799,15994.25,0.579,28782.153,25029.98524,0.595275318,34.4,56743.8855,18965.62746,6.939092218,38.07275376,7965.0,0.24318,,,1635774.74,14896.40003,0.190297358,84617.545,5119865.917,2.608550703,5533.053017,5.910182171,46.94188049,92840.5959,58.12934636,6.023816713,46454.637,45.0116496,0.730646552,22344.381,47441.4185,0.444953475,2334482.072,1061565.0,133173.1723,24620.071,1261265.416,0.239814584,66.37166482,114.1967678,112.6767392,27961.733,407714.0137,5179.0,2477792.077,61.605231,1336683.658,2444811.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.907115329,0.935270793,60778.15,7897.0,657.5781473,65.37628934,,29384.0019,169.8540833,15.39212833,136.2411267,7.13830839,101.3842062,0.0,56.47361358,4.848333333,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930641.186699351,,,,,,,,,,,,,,,,
2007,0.469690785,0.0,21.36949348,-2.66715604,-2.207741929,0.0,,5.0,0.0,104551.6,11.18,0.0,136791.6494,6279.701426,0.854807071,6.5,3.432940765,2.03,607771.6697,16.45,0.0,78.85,0.631908754,40.89716153,10.33270518,30886.79153,0.172024471,0.65,0.452549243,0.11999672,108647.2,0.164643735,1.93,0.81482907,318.1038249,0.011902288,0.569090005,0.0,0.0,,2.482873216,-6.992,-0.005509352,,0.512,-9.031908397,0.125497301,-2.207741929,14.81481481,,53538.07631,0.02375227,0.8351165,0.396266312,,0.043235815,10.48021874,53538.07631,23230.96258,1358234.47,0.687370988,145051.1729,1.302724449,1055576.579,553829.3252,352967.0789,325441.637,100.5773,698880.4981,124792.4461,38324.0,886394.754,0.578942626,16105.125,0.326,29374.477,30886.79153,0.655771484,34.5,57884.70546,20317.78272,7.970305117,38.39591457,12660.0,0.2459592,,,1795747.153,17346.39714,0.21530925,85419.588,5697137.976,3.906108999,6279.701426,6.400166043,65.54289886,124810.0636,74.18672001,6.343489539,47359.162,55.0380549,0.802727571,22782.605,48340.47361,0.482102036,2444711.87,1246769.0,145030.6983,25109.511,1609671.365,0.262513374,77.41442553,122.3384315,119.7897819,28510.228,509893.1318,7415.0,2654446.374,68.56380284,1487667.74,2599146.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.963749558,1.01426987,99529.6725,6012.0,724.8931974,72.73115842,,30245.097,172.1365434,15.40746222,144.1704356,7.730110112,105.5146399,0.0,84.565,4.471666667,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858930.2659572256,,,,,,,,,,,,,,,,
2008,0.576185261,0.0,21.36949348,-4.066566079,-0.567856457,0.0,,5.0,0.0,137239.0,15.78357143,0.0,158863.0634,5597.482258,0.854423164,10.25,3.42059854,1.8,787786.3369,14.1,0.0,77.8,0.633867887,39.41891059,16.46722956,39900.20194,0.174208403,0.65,0.455130538,0.133666603,139976.0,0.161169612,1.64,0.81446201,318.1038249,0.017752224,0.584470816,0.0,0.0,,2.626257683,-10.787,-0.005617324,,0.512,-10.88163715,0.121974365,-0.567856457,14.56790123,,67631.20189,0.028149284,0.8347605,0.40395773,,0.052553999,14.05927132,67631.20189,23665.10675,1420623.334,0.815380971,152311.742,1.61799198,1376182.516,573397.1379,438703.0,429526.1728,113.2445,725708.8798,156238.8505,60736.0,1155687.511,0.612267896,16302.25,0.411,29995.65,39900.20194,0.794426121,34.6,59051.77054,21468.1291,10.7394167,38.71907537,16730.0,0.26051526,,,1933452.448,22894.21736,0.247467522,86243.424,6262476.503,6.838904845,5597.482258,10.38936212,84.41672263,152605.2634,79.83833524,6.599487014,48406.791,70.89128871,0.984068871,23276.999,49294.08452,0.593542083,2616909.135,1616047.0,155938.3402,25628.978,1732297.668,0.497741302,99.1303041,129.2649535,127.4009094,29056.121,637028.122,12940.0,2804735.055,72.03895051,1563069.991,2764289.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.029052422,1.095938259,110936.8113,9413.0,752.8291536,97.56925065,,30882.5148,170.3787574,15.42227863,146.0626712,12.54825463,108.0499538,0.0,148.0583333,1.391666667,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697662.4604392205,,,,,,,,,,,,,,,,
2009,0.611998766,0.0,21.36949348,-1.637322895,-6.12554437,0.0,,5.0,0.0,112164.3,10.069,0.0,133468.389,8330.596822,0.852343383,8.0,3.436174671,1.74,881919.1915,9.05,0.0,62.3,0.63778981,46.15235649,9.186954451,55112.23651,0.127182061,0.65,0.466366245,0.090444229,157369.6,0.113889455,1.57,0.8139086,318.1038249,0.015007594,0.599851627,0.0,0.0,,2.454006162,-6.608,0.007264182,,0.512,-6.23310024,0.1256696,-6.12554437,14.07407407,,97483.00767,0.029495387,0.8334674,0.368579144,,0.067571443,8.914395079,97483.00767,24082.45758,1563548.162,0.789571369,227989.874,1.64670996,1326810.283,561039.6032,573700.09,462879.8653,122.8329,789029.4772,166305.5259,76981.0,1139253.463,0.61759437,17065.08333,0.356,30659.103,55112.23651,0.71806906,34.8,60247.75384,22626.95671,6.818173122,39.04223618,20490.09,0.2782674,,,1976994.918,24672.00585,0.283811222,87092.25,6866791.815,3.640128066,8330.596822,7.499710557,77.75000318,225978.6331,85.15919874,6.849729332,49340.808,66.75932608,0.834109366,23704.363,50214.54101,0.633410202,2779159.397,1809149.0,167785.668,26132.083,1847747.463,0.467036968,106.0146596,136.2425433,135.5490739,29588.651,834964.8959,14318.0,2956131.78,80.03665804,1736600.79,2941085.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.962974604,1.01639147,102731.8015,7908.0,708.7763678,61.86457522,,30445.9827,167.0656558,15.43683018,144.0328656,9.058138182,105.8535416,0.0,78.80666667,0.150833333,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653750.1743617322,,,,,,,,,,,,,,,,
